id,title,abstract,ai_abstract
2511.14670,SkillGen: Learning Domain Skills for In-Context Sequential Decision Making,"Large language models (LLMs) are increasingly applied to sequential decision-making through in-context learning (ICL), yet their effectiveness is highly sensitive to prompt quality. Effective prompts should meet three principles: focus on decision-critical information, provide step-level granularity, and minimize reliance on expert annotations through label efficiency. However, existing ICL methods often fail to satisfy all three criteria simultaneously. Motivated by these challenges, we introduce SkillGen, a skill-based ICL framework for structured sequential reasoning. It constructs an action-centric, domain-level graph from sampled trajectories, identifies high-utility actions via temporal-difference credit assignment, and retrieves step-wise skills to generate fine-grained, context-aware prompts. We further present a theoretical analysis showing that focusing on high-utility segments supports task identifiability and informs more effective ICL prompt design. Experiments on ALFWorld, BabyAI, and ScienceWorld, using both open-source and proprietary LLMs, show that SkillGen achieves consistent gains, improving progress rate by 5.9%-16.5% on average across models.",针对大语言模型在序列决策中对提示质量敏感的问题，提出了基于技能的上下文学习框架 SkillGen。该方法从采样轨迹构建动作中心的领域图，利用时序差分信用分配识别高效用动作，并检索逐步技能以生成细粒度的上下文感知提示。理论分析表明，聚焦高效用片段能增强任务可识别性。在 ALFWorld、BabyAI 和 ScienceWorld 上的实验显示，SkillGen 使不同 LLM 的任务进度率平均提升了 5.9% 至 16.5%，有效平衡了提示的关键性、粒度和标注效率。
2511.14659,NORA-1.5: A Vision-Language-Action Model Trained using World Model- and Action-based Preference Rewards,"Vision--language--action (VLA) models have recently shown promising performance on a variety of embodied tasks, yet they still fall short in reliability and generalization, especially when deployed across different embodiments or real-world environments. In this work, we introduce NORA-1.5, a VLA model built from the pre-trained NORA backbone by adding to it a flow-matching-based action expert. This architectural enhancement alone yields substantial performance gains, enabling NORA-1.5 to outperform NORA and several state-of-the-art VLA models across both simulated and real-world benchmarks. To further improve robustness and task success, we develop a set of reward models for post-training VLA policies. Our rewards combine (i) an action-conditioned world model (WM) that evaluates whether generated actions lead toward the desired goal, and (ii) a deviation-from-ground-truth heuristic that distinguishes good actions from poor ones. Using these reward signals, we construct preference datasets and adapt NORA-1.5 to target embodiments through direct preference optimization (DPO). Extensive evaluations show that reward-driven post-training consistently improves performance in both simulation and real-robot settings, demonstrating significant VLA model-reliability gains through simple yet effective reward models. Our findings highlight NORA-1.5 and reward-guided post-training as a viable path toward more dependable embodied agents suitable for real-world deployment.",针对视觉-语言-动作（VLA）模型在真实部署中的可靠性不足，提出了 NORA-1.5。该模型在 NORA 骨干上增加了基于流匹配（flow-matching）的动作专家，大幅提升了性能。为增强鲁棒性，开发了结合动作条件世界模型（WM）和真值偏差启发式的奖励模型，用于构建偏好数据集。通过直接偏好优化（DPO）将 NORA-1.5 适配至目标具身环境。仿真和真机实验表明，这种基于奖励的后训练策略显著提高了 VLA 策略的任务成功率和可靠性。
2511.14654,Improving segmentation of retinal arteries and veins using cardiac signal in doppler holograms,"Doppler holography is an emerging retinal imaging technique that captures the dynamic behavior of blood flow with high temporal resolution, enabling quantitative assessment of retinal hemodynamics. This requires accurate segmentation of retinal arteries and veins, but traditional segmentation methods focus solely on spatial information and overlook the temporal richness of holographic data. In this work, we propose a simple yet effective approach for artery-vein segmentation in temporal Doppler holograms using standard segmentation architectures. By incorporating features derived from a dedicated pulse analysis pipeline, our method allows conventional U-Nets to exploit temporal dynamics and achieve performance comparable to more complex attention- or iteration-based models. These findings demonstrate that time-resolved preprocessing can unlock the full potential of deep learning for Doppler holography, opening new perspectives for quantitative exploration of retinal hemodynamics. The dataset is publicly available at https://huggingface.co/datasets/DigitalHolography/",多普勒全息术能以高时间分辨率捕捉视网膜血流动态，但现有动静脉分割方法往往忽略其时间信息。本文提出一种利用心脏信号的时间分辨预处理方法，通过专门的脉搏分析管道提取特征，使标准的 U-Net 分割架构能够利用全息数据的血流动力学信息。实验表明，该方法无需复杂的注意力机制或迭代模型，即可实现与先进模型相当的分割性能，证明了时间分辨预处理在视网膜血流动力学定量探索中的潜力。
2511.14650,AutoTool: Efficient Tool Selection for Large Language Model Agents,"Large Language Model (LLM) agents have emerged as powerful tools for automating complex tasks by leveraging the reasoning and decision-making abilities of LLMs. However, a major bottleneck in current agent frameworks lies in the high inference cost of tool selection, especially in approaches like ReAct that repeatedly invoke the LLM to determine which tool to use at each step. In this work, we propose AutoTool, a novel graph-based framework that bypasses repeated LLM inference by exploiting a key empirical observation: tool usage inertia - the tendency of tool invocations to follow predictable sequential patterns. AutoTool constructs a directed graph from historical agent trajectories, where nodes represent tools and edges capture transition probabilities, effectively modeling the inertia in tool selection. It further integrates parameter-level information to refine tool input generation. By traversing this structured representation, AutoTool efficiently selects tools and their parameters with minimal reliance on LLM inference. Extensive experiments across diverse agent tasks demonstrate that AutoTool reduces inference costs by up to 30% while maintaining competitive task completion rates, offering a practical and scalable enhancement for inference-heavy frameworks. Our work highlights the promise of integrating statistical structure into LLM agent design for greater efficiency without sacrificing performance.",针对 LLM 智能体（如 ReAct）在工具选择步骤频繁调用模型导致的高推理成本问题，利用工具调用的惯性特征，提出了基于图的 AutoTool 框架。该方法从历史轨迹构建有向图，以节点表示工具，边表示转移概率，并整合参数级信息。通过遍历该结构化表示，AutoTool 能在极少依赖 LLM 推理的情况下高效预测工具及其参数。实验显示，该方法在保持任务完成率的同时降低了高达 30% 的推理成本，为计算密集型框架提供了高效的扩展方案。
2511.14632,Adapformer: Adaptive Channel Management for Multivariate Time Series Forecasting,"In multivariate time series forecasting (MTSF), accurately modeling the intricate dependencies among multiple variables remains a significant challenge due to the inherent limitations of traditional approaches. Most existing models adopt either \textbf{channel-independent} (CI) or \textbf{channel-dependent} (CD) strategies, each presenting distinct drawbacks. CI methods fail to leverage the potential insights from inter-channel interactions, resulting in models that may not fully exploit the underlying statistical dependencies present in the data. Conversely, CD approaches often incorporate too much extraneous information, risking model overfitting and predictive inefficiency. To address these issues, we introduce the Adaptive Forecasting Transformer (\textbf{Adapformer}), an advanced Transformer-based framework that merges the benefits of CI and CD methodologies through effective channel management. The core of Adapformer lies in its dual-stage encoder-decoder architecture, which includes the \textbf{A}daptive \textbf{C}hannel \textbf{E}nhancer (\textbf{ACE}) for enriching embedding processes and the \textbf{A}daptive \textbf{C}hannel \textbf{F}orecaster (\textbf{ACF}) for refining the predictions. ACE enhances token representations by selectively incorporating essential dependencies, while ACF streamlines the decoding process by focusing on the most relevant covariates, substantially reducing noise and redundancy. Our rigorous testing on diverse datasets shows that Adapformer achieves superior performance over existing models, enhancing both predictive accuracy and computational efficiency, thus making it state-of-the-art in MTSF.",针对多元时间序列预测（MTSF）中通道独立（CI）策略忽略交互和通道依赖（CD）策略易过拟合的问题，提出了 Adapformer 框架。该模型采用双阶段编码器-解码器架构实现自适应通道管理：自适应通道增强器（ACE）选择性地整合关键依赖以丰富 Token 表示，自适应通道预测器（ACF）则在解码过程中聚焦相关协变量以减少噪声。在多个数据集上的测试表明，Adapformer 有效结合了 CI 和 CD 的优势，在预测精度和计算效率上均优于现有 SOTA 模型。
2511.14631,Enhancing Agentic Autonomous Scientific Discovery with Vision-Language Model Capabilities,"We show that multi-agent systems guided by vision-language models (VLMs) improve end-to-end autonomous scientific discovery. By treating plots as verifiable checkpoints, a VLM-as-a-judge evaluates figures against dynamically generated domain-specific rubrics, enabling agents to correct their own errors and steer exploratory data analysis in real-time. Case studies in cosmology and astrochemistry demonstrate recovery from faulty reasoning paths and adaptation to new datasets without human intervention. On a 10-task benchmark for data-driven discovery, VLM-augmented systems achieve pass at 1 scores of 0.7-0.8, compared to 0.2-0.3 for code-only and 0.4-0.5 for code-and-text baselines, while also providing auditable reasoning traces that improve interpretability. Code available here: https://github.com/CMBAgents/cmbagent",本文展示了由视觉语言模型（VLM）引导的多智能体系统在端到端自主科学发现中的应用。通过将绘图视为可验证的检查点，利用“VLM 即裁判”针对动态生成的量规评估图表，使智能体能实时纠错并引导探索性数据分析。在宇宙学和天体化学的案例研究中，系统成功从错误推理中恢复并适应新数据集。在包含 10 项任务的基准测试中，VLM 增强系统的 pass@1 得分达到 0.7-0.8，显著优于仅代码基线的 0.2-0.3，并提供了可审计的推理轨迹。
2511.14630,Failure to Mix: Large language models struggle to answer according to desired probability distributions,"Scientific idea generation and selection requires exploration following a target probability distribution. In contrast, current AI benchmarks have objectively correct answers, and training large language models (LLMs) via reinforcement learning against these benchmarks discourages probabilistic exploration. Here, we conducted systematic experiments requesting LLMs to produce outputs following simple probabilistic distributions, and found that all modern LLMs tested grossly fail to follow the distributions. For example, requesting a binary output of ""1"" 49% of the time produces an answer of ""0"" nearly 100% of the time. This step function-like behavior of near-exclusively generating the output with marginally highest probability even overrules even strong in-built LLM biases.",科学创意生成需要遵循目标概率分布进行探索，但现代大语言模型（LLM）因基于强化学习对齐客观正确答案，抑制了这种概率探索能力。系统实验表明，当要求 LLM 按简单概率分布（如 49% 的概率输出“1”）生成输出时，所有测试模型均彻底失败，表现出阶跃函数般的行为：几乎以 100% 的频率生成概率略高的选项（如“0”）。这种倾向于生成最高概率输出的机制甚至覆盖了模型内置的强烈偏见，揭示了 LLM 在需要混合策略任务中的根本局限。
2511.14624,Active Matter as a framework for living systems-inspired Robophysics,"Robophysics investigates the physical principles that govern living-like robots operating in complex, realworld environments. Despite remarkable technological advances, robots continue to face fundamental efficiency limitations. At the level of individual units, locomotion remains a challenge, while at the collective level, robot swarms struggle to achieve shared purpose, coordination, communication, and cost efficiency. This perspective article examines the key challenges faced by bio-inspired robotic collectives and highlights recent research efforts that incorporate principles from active-matter physics and biology into the modeling and design of robot swarms.",机器人物理学致力于研究现实环境中仿生机器人的物理原理。尽管技术进步显著，个体运动和群体协作（如共识、通信、成本效率）仍面临瓶颈。本文提出将“活性物质（Active Matter）”物理学作为理解和设计仿生机器人集群的框架。通过回顾近期研究，文章探讨了如何将活性物质物理和生物学原理融入机器人群体的建模与设计中，以解决群体协调和效率限制，为构建具备生命特征的高效机器人集群提供了新的物理视角。
2511.14619,Expert-Guided POMDP Learning for Data-Efficient Modeling in Healthcare,"Learning the parameters of Partially Observable Markov Decision Processes (POMDPs) from limited data is a significant challenge. We introduce the Fuzzy MAP EM algorithm, a novel approach that incorporates expert knowledge into the parameter estimation process by enriching the Expectation Maximization (EM) framework with fuzzy pseudo-counts derived from an expert-defined fuzzy model. This integration naturally reformulates the problem as a Maximum A Posteriori (MAP) estimation, effectively guiding learning in environments with limited data. In synthetic medical simulations, our method consistently outperforms the standard EM algorithm under both low-data and high-noise conditions. Furthermore, a case study on Myasthenia Gravis illustrates the ability of the Fuzzy MAP EM algorithm to recover a clinically coherent POMDP, demonstrating its potential as a practical tool for data-efficient modeling in healthcare.",在数据受限的医疗场景下学习部分可观测马尔可夫决策过程（POMDP）参数极具挑战。本文提出 Fuzzy MAP EM 算法，通过引入专家定义的模糊模型生成的模糊伪计数，丰富了期望最大化（EM）框架，将问题重构为最大后验概率（MAP）估计。在低数据和高噪声的合成模拟中，该方法优于标准 EM。重症肌无力案例研究表明，Fuzzy MAP EM 能恢复临床连贯的 POMDP 模型，证明了其在结合专家知识与数据高效建模方面的实用价值。
2511.14603,A Method for Characterizing Disease Progression from Acute Kidney Injury to Chronic Kidney Disease,"Patients with acute kidney injury (AKI) are at high risk of developing chronic kidney disease (CKD), but identifying those at greatest risk remains challenging. We used electronic health record (EHR) data to dynamically track AKI patients' clinical evolution and characterize AKI-to-CKD progression. Post-AKI clinical states were identified by clustering patient vectors derived from longitudinal medical codes and creatinine measurements. Transition probabilities between states and progression to CKD were estimated using multi-state modeling. After identifying common post-AKI trajectories, CKD risk factors in AKI subpopulations were identified through survival analysis. Of 20,699 patients with AKI at admission, 3,491 (17%) developed CKD. We identified fifteen distinct post-AKI states, each with different probabilities of CKD development. Most patients (75%, n=15,607) remained in a single state or made only one transition during the study period. Both established (e.g., AKI severity, diabetes, hypertension, heart failure, liver disease) and novel CKD risk factors, with their impact varying across these clinical states. This study demonstrates a data-driven approach for identifying high-risk AKI patients, supporting the development of decision-support tools for early CKD detection and intervention.",为识别急性肾损伤（AKI）进展为慢性肾病（CKD）的高危患者，本研究利用电子健康记录（EHR）数据动态追踪临床演变。通过聚类纵向医疗代码和肌酐测量值生成的患者向量，识别出 15 种急性后临床状态，并利用多状态建模估算状态转移概率。研究涵盖 20,699 名患者，其中 17% 发展为 CKD。生存分析揭示了不同状态下新旧风险因素（如糖尿病、肝病）的差异化影响。该数据驱动方法有助于开发早期 CKD 检测的决策支持工具。
